"targetx1","targety1","targetx2","targety2","d","day","x1","y1","x2","y2","departuretime","arrivaltime","transitdistance","transittime","bustime","walktime","waittime","td"
118.326166719617,24.4454766679001,118.437755735313,24.4479027575139,11311.5807171173,"days",118.3262211,24.4455251,118.4376276,24.4480087,"7:00am","9:57am",14.5,176.7,65.7,20.9,90.1,0.0156211589183647
118.307717422555,24.4641005720617,118.424217986473,24.4458759693558,11978.3648013389,"days",118.308357,24.4646121,118.4234429,24.4457077,"7:00am","10:57am",16.4,236.3,71,40.2,125.1,0.0197272335514098
118.320951117333,24.4265774410071,118.416587787928,24.4291108853747,9697.30675355077,"days",118.3210455,24.4265457,118.4165093,24.4291336,"7:01am","8:59am",12.4,118.6,53,25.4,40.2,0.0122301998909721
118.430597354289,24.4447539585908,118.320406219117,24.4370497235093,11200.0929127975,"days",118.4311624,24.4452685,118.3204111,24.4370452,"7:01am","10:51am",14.5,230.4,68.8,16.6,145,0.0205712579166857
118.315659067284,24.4477546113526,118.402439167514,24.5100150577088,11195.3147806396,"days",118.3155801,24.4476623,118.4024408,24.5100038,"7:01am","12:17pm",19.5,316.7,83.5,43.1,190.1,0.0282886194989067
118.403484143884,24.4426791635226,118.231784053037,24.4242520902874,17522.281021438,"days",118.4030917,24.4430001,118.2864996,24.4150958,"7:14am","9:12am",16.8,148,75,25.1,47.9,0.00844638890444267
118.321861989538,24.4744574289817,118.337076241034,24.4380241605236,4338.86650777981,"days",118.3218678,24.474461,118.3370067,24.4386712,"7:01am","8:54am",5.8,113.4,25,18.3,70.1,0.0261358582470025
118.312035016452,24.400650492206,118.411631495072,24.4382715315564,10929.429373653,"days",118.3122034,24.4007544,118.4115641,24.4383109,"7:01am","9:27am",16.7,145.9,71.1,14.7,60.1,0.0133492788152064
118.401297031116,24.442239624252,118.312343127285,24.4299486707326,9118.52128150355,"days",118.401358,24.4421848,118.3122714,24.4299516,"7:06am","8:31am",10.6,84.9,44.4,25.5,15,0.00931072016821579
118.344431374302,24.4423294013281,118.442924915052,24.4121123394029,10534.2920408876,"days",118.3444795,24.4421813,118.4406211,24.4127293,"7:04am","9:34am",12.7,149.6,60.4,14.1,75.1,0.0142012390979237
118.322731474676,24.4367956971744,118.313574992224,24.4302240789516,1181.67873438849,"days",118.3228738,24.43689,118.3139254,24.4307036,"","",1.4,16.6,0,16.6,0,0.0140478114033172
118.359595948282,24.4308549547091,118.412274048616,24.4605390187114,6278.35417601194,"days",118.3592281,24.4310302,118.4118195,24.4611353,"7:57am","10:12am",11.6,135.6,42.2,33.4,60,0.0215980169640786
118.421709007649,24.490788221333,118.442276197487,24.4184619446146,8316.69626554993,"days",118.4218364,24.4907044,118.4421468,24.4189197,"7:01am","10:24am",17.4,203.5,81.6,21.8,100.1,0.024468850791504
118.309290980508,24.41911421277,118.353923364856,24.4646038815993,6789.8593497158,"days",118.3093152,24.419087,118.3527781,24.4633901,"7:11am","9:02am",10.2,111,39.4,31.1,40.5,0.016347908591751
118.31591029136,24.4502213652285,118.345187709692,24.4358443020861,3371.1657994323,"days",118.3152704,24.4497419,118.3447931,24.4357519,"","",4.3,53.3,0,53.3,0,0.0158105543218835
118.424079859367,24.4901345130301,118.312829657229,24.42881633411,13178.4203987829,"days",118.4240868,24.4901287,118.3128141,24.4291049,"7:02am","8:49am",16.7,107.3,75.7,31.5,0.0999999999999943,0.00814209873058154
118.323422092545,24.4080255364919,118.31425295597,24.4293307552411,2547.28883735333,"days",118.3234396,24.4080167,118.3142617,24.4291698,"7:10am","7:42am",3.9,32.5,11,21.3,0.199999999999999,0.0127586630630267
118.346844815799,24.4355104166706,118.31541248559,24.4328275228827,3199.61692728322,"days",118.3466201,24.4360934,118.3154698,24.4328682,"7:32am","8:25am",4.9,53.2,15.7,22.5,15,0.0166269904207476
118.398145382478,24.4906278518373,118.333895473407,24.4589454910015,7403.61668669708,"days",118.3975797,24.4904683,118.3339532,24.4588673,"7:27am","8:37am",10.7,69.6,51,18.5,0.0999999999999943,0.00940081083952634
118.407329201485,24.4370082276133,118.22128540472,24.419294371253,18959.1501456251,"days",118.4073819,24.4370972,118.2864996,24.4150958,"7:19am","9:12am",16.6,142.5,77,17.7,47.8,0.00751615968571686
118.314978401714,24.4391233824255,118.314267442886,24.392415598059,5199.98616949165,"days",118.3150501,24.439192,118.3145396,24.392272,"7:01am","8:51am",6.2,110,18.7,31.2,60.1,0.0211539024171585
118.413920442936,24.4345931904627,118.323141277785,24.4350468240009,9200.50473023167,"days",118.4140242,24.4349038,118.323787,24.4344792,"7:03am","8:19am",10.3,75.5,49.2,11.3,15,0.00820607153778388
118.317481907993,24.4384436941115,118.315297965536,24.4194957634872,2120.85660739611,"days",118.3172486,24.438308,118.3156421,24.4186561,"","",2.6,33,0,33,0,0.0155597506615574
118.233675147225,24.4181512658911,118.442467411091,24.4204262091236,21164.9797385692,"days",118.286415,24.415166,118.442978,24.4203325,"7:51am","11:47am",23.6,266.1,116.9,6.7,142.5,0.0125726555511453
118.337643644198,24.4450649181718,118.398905677033,24.4653808053303,6606.95233586819,"days",118.3375484,24.4451574,118.3989562,24.4653727,"7:01am","9:55am",14.4,173.8,59.4,39.2,75.2,0.026305623404677
118.337981020263,24.4101117246536,118.319703695416,24.4315620236829,3022.22737894339,"days",118.3373618,24.4106547,118.3197151,24.4315512,"","",3.9,48.2,0,48.2,0,0.0159485021993452
